id,x,y,z
1.0,42.01041,32.03581,-62.12695
2.0,41.05717,32.02265,-61.84351
3.0,40.59003,31.19037,-61.62956
4.0,41.36729,31.12747,-62.195
5.0,41.88988,31.95229,-61.98438
6.0,42.84184,31.57838,-62.20445
7.0,42.19529,31.04876,-61.59433
8.0,41.51864,31.52538,-61.09613
9.0,40.53949,32.00807,-61.04491
10.0,40.32777,31.41319,-60.29563
11.0,41.04396,30.77604,-59.93449
12.0,41.32491,30.57435,-60.87678
13.0,41.70857,31.4901,-61.00803
14.0,41.11661,32.21574,-60.77989
15.0,41.96365,32.89496,-60.86487
16.0,41.96274,32.27968,-61.67234
17.0,42.2141,31.43244,-61.1654
18.0,41.64672,32.22674,-60.43695
19.0,41.33821,32.75969,-61.21813
20.0,40.62056,33.03532,-60.68437
21.0,40.713,32.65796,-59.77964
22.0,41.38402,32.66174,-59.09085
23.0,40.89663,32.42188,-59.8518
24.0,40.56002,33.24031,-60.33154
25.0,40.84491,34.11413,-59.97428
26.0,40.7776,33.24539,-60.49493
27.0,41.36092,33.87589,-59.98745
28.0,40.90939,33.36013,-59.32953
29.0,41.80991,33.81363,-59.26909
30.0,40.92694,33.55815,-59.18595
31.0,41.273,34.30747,-59.73523
32.0,42.0429,34.32422,-59.16514
33.0,41.20904,33.61468,-59.70428
34.0,41.8512,32.91253,-59.24858
35.0,41.48541,33.814,-59.50526
36.0,40.58654,33.55466,-59.8041
37.0,41.52123,33.78656,-59.54365
38.0,42.64643,33.97228,-59.36595
39.0,41.65236,34.17811,-59.58513
40.0,40.73574,33.7015,-59.93733
41.0,41.09749,32.81669,-59.75351
42.0,41.23686,31.87115,-60.17079
43.0,42.01712,31.66234,-59.23835
44.0,42.69728,32.30154,-59.00853
45.0,42.70917,31.28642,-59.22851
46.0,42.71729,31.28217,-60.19017
47.0,41.6415,31.38964,-60.42654
48.0,41.74329,31.54209,-59.36522
49.0,42.81302,31.61016,-59.33811
50.0,43.23611,32.37382,-59.78068
51.0,43.70597,32.90248,-59.13288
52.0,43.09795,32.16339,-59.3261
53.0,43.17212,33.2466,-59.19629
54.0,43.29249,33.86754,-59.93588
55.0,43.05306,34.20208,-59.09097
56.0,43.26266,33.29689,-59.30591
57.0,42.40167,32.78378,-59.0282
58.0,41.74658,33.68109,-59.03021
59.0,42.59999,34.18861,-59.04465
60.0,42.57601,33.08062,-58.94703
61.0,41.58427,33.23592,-59.0564
62.0,41.36601,32.28025,-59.44979
63.0,41.94228,31.62049,-58.93749
64.0,42.93042,31.42828,-58.67447
65.0,42.47938,32.26176,-58.49378
66.0,41.63343,32.2111,-58.9486
67.0,42.49835,31.85236,-58.93558
68.0,41.82429,31.34149,-59.75232
69.0,41.04319,32.27692,-59.87649
70.0,41.63728,32.97991,-59.72468
71.0,41.23954,32.37333,-59.1106
72.0,41.75911,31.85168,-59.88171
73.0,42.00669,32.48551,-58.91095
74.0,41.09907,32.80525,-59.23902
75.0,41.26463,31.95026,-59.81656
76.0,42.03744,32.64446,-59.76208
77.0,42.60503,32.22076,-59.01498
78.0,43.27742,32.97111,-58.70438
79.0,42.3357,33.61093,-59.08041
80.0,43.12486,33.07256,-59.14214
81.0,43.74714,33.48176,-60.01435
82.0,43.88717,32.54717,-59.86809
83.0,43.35735,31.75233,-59.98805
84.0,42.58474,31.8642,-60.64532
85.0,41.98698,31.35888,-60.09531
86.0,42.78308,31.57779,-60.82722
87.0,42.40383,31.10486,-59.95152
88.0,42.45296,32.03439,-60.70161
89.0,42.57516,31.83775,-59.76827
90.0,42.96568,31.11171,-59.32365
91.0,43.75538,31.31751,-58.67047
92.0,43.81464,31.015,-59.63251
93.0,42.88743,30.64628,-59.42474
94.0,42.78545,31.06888,-60.39018
95.0,43.5067,31.55298,-59.82318
96.0,43.92962,31.60662,-59.02195
97.0,44.35649,31.85173,-59.90227
98.0,43.99324,32.58974,-60.43705
99.0,44.01673,31.84358,-59.79821
100.0,44.20315,32.58964,-60.39031
101.0,43.92018,32.65226,-59.44453
102.0,43.43362,33.04129,-60.18906
103.0,43.41223,33.74873,-59.58302
104.0,42.31492,33.35297,-59.6033
105.0,42.52499,34.33683,-59.64354
106.0,43.10941,33.28924,-59.80778
107.0,42.91043,33.51989,-58.92464
108.0,43.72223,33.21636,-59.37657
109.0,43.56814,32.43213,-60.23144
110.0,42.71076,31.7088,-60.4855
111.0,42.12972,32.38943,-60.94872
112.0,43.0662,32.16142,-60.56951
113.0,42.54501,32.63729,-59.8324
114.0,42.83601,33.45754,-59.6328
115.0,43.26173,32.77812,-60.48034
