Chrom,Start,End,ATAC,H3K27ac,H3K9me3,PC1,PC2
chr22,0,200000,0.0,0.0,0.0,0.0,0.0
chr22,200000,400000,0.0,0.0,0.0,0.0,0.0
chr22,400000,600000,0.0,0.0,0.0,0.0,0.0
chr22,600000,800000,0.0,0.0,0.0,0.0,0.0
chr22,800000,1000000,0.0,0.0,0.0,0.0,0.0
chr22,1000000,1200000,0.0,0.0,0.0,0.0,0.0
chr22,1200000,1400000,0.0,0.0,0.0,0.0,0.0
chr22,1400000,1600000,0.0,0.0,0.0,0.0,0.0
chr22,1600000,1800000,0.0,0.0,0.0,0.0,0.0
chr22,1800000,2000000,0.0,0.0,0.0,0.0,0.0
chr22,2000000,2200000,0.0,0.0,0.0,0.0,0.0
chr22,2200000,2400000,0.0,0.0,0.0,0.0,0.0
chr22,2400000,2600000,0.0,0.0,0.0,0.0,0.0
chr22,2600000,2800000,0.0,0.0,0.0,0.0,0.0
chr22,2800000,3000000,0.0,0.0,0.0,0.0,0.0
chr22,3000000,3200000,0.0,0.0,0.0,0.0,0.0
chr22,3200000,3400000,0.0,0.0,0.0,0.0,0.0
chr22,3400000,3600000,0.0,0.0,0.0,0.0,0.0
chr22,3600000,3800000,0.0,0.0,0.0,0.0,0.0
chr22,3800000,4000000,0.0,0.0,0.0,0.0,0.0
chr22,4000000,4200000,0.0,0.0,0.0,0.0,0.0
chr22,4200000,4400000,0.0,0.0,0.0,0.0,0.0
chr22,4400000,4600000,0.0,0.0,0.0,0.0,0.0
chr22,4600000,4800000,0.0,0.0,0.0,0.0,0.0
chr22,4800000,5000000,0.0,0.0,0.0,0.0,0.0
chr22,5000000,5200000,0.0,0.0,0.0,0.0,0.0
chr22,5200000,5400000,0.0,0.0,0.0,0.0,0.0
chr22,5400000,5600000,0.0,0.0,0.0,0.0,0.0
chr22,5600000,5800000,0.0,0.0,0.0,0.0,0.0
chr22,5800000,6000000,0.0,0.0,0.0,0.0,0.0
chr22,6000000,6200000,0.0,0.0,0.0,0.0,0.0
chr22,6200000,6400000,0.0,0.0,0.0,0.0,0.0
chr22,6400000,6600000,0.0,0.0,0.0,0.0,0.0
chr22,6600000,6800000,0.0,0.0,0.0,0.0,0.0
chr22,6800000,7000000,0.0,0.0,0.0,0.0,0.0
chr22,7000000,7200000,0.0,0.0,0.0,0.0,0.0
chr22,7200000,7400000,0.0,0.0,0.0,0.0,0.0
chr22,7400000,7600000,0.0,0.0,0.0,0.0,0.0
chr22,7600000,7800000,0.0,0.0,0.0,0.0,0.0
chr22,7800000,8000000,0.0,0.0,0.0,0.0,0.0
chr22,8000000,8200000,0.0,0.0,0.0,0.0,0.0
chr22,8200000,8400000,0.0,0.0,0.0,0.0,0.0
chr22,8400000,8600000,0.0,0.0,0.0,0.0,0.0
chr22,8600000,8800000,0.0,0.0,0.0,0.0,0.0
chr22,8800000,9000000,0.0,0.0,0.0,0.0,0.0
chr22,9000000,9200000,0.0,0.0,0.0,0.0,0.0
chr22,9200000,9400000,0.0,0.0,0.0,0.0,0.0
chr22,9400000,9600000,0.0,0.0,0.0,0.0,0.0
chr22,9600000,9800000,0.0,0.0,0.0,0.0,0.0
chr22,9800000,10000000,0.0,0.0,0.0,0.0,0.0
chr22,10000000,10200000,0.0,0.0,0.0,0.0,0.0
chr22,10200000,10400000,0.0122411,0.00263653,0.00537947,1.795159e-06,0.0
chr22,10400000,10600000,0.192091,0.128496,0.286649,1.795159e-06,0.010677088222
chr22,10600000,10800000,0.192091,0.128496,0.286649,-0.000924139626,0.010677088222
chr22,10800000,11000000,0.21356,0.0860341,0.215947,-0.000924139626,0.00435090668
chr22,11000000,11200000,0.21356,0.0860341,0.215947,-0.003751273733,0.008081382679
chr22,11200000,11400000,0.0781548,0.092001,0.182774,-0.002153015046,0.013074462313
chr22,11400000,11600000,0.0781548,0.092001,0.182774,-0.002153015046,0.014548396244
chr22,11600000,11800000,0.0642188,0.0582812,0.162537,-0.001059032269,0.014548396244
chr22,11800000,12000000,0.0273071,0.0249776,0.054179,-0.001059032269,0.001319078913
chr22,12000000,12200000,0.030132,0.0373277,0.0739037,-0.000183807398,0.001962894224
chr22,12200000,12400000,0.0325802,0.0550896,0.107974,-0.000183807398,0.008722291969
chr22,12400000,12600000,0.0325802,0.0550896,0.107974,0.000158262259,0.008722291969
chr22,12600000,12800000,0.0141244,0.0407968,0.0786428,0.000158262259,0.003136046522
chr22,12800000,13000000,0.0067797,0.0230349,0.0523858,2.4183232e-05,0.0
chr22,13000000,13200000,,,,0.0,0.0
chr22,13200000,13400000,,,,0.0,0.0
chr22,13400000,13600000,,,,0.0,0.0
chr22,13600000,13800000,,,,0.0,0.0
chr22,13800000,14000000,,,,0.0,0.0
chr22,14000000,14200000,,,,0.0,0.0
chr22,14200000,14400000,,,,0.0,0.0
chr22,14400000,14600000,,,,0.0,0.0
chr22,14600000,14800000,,,,0.0,0.0
chr22,14800000,15000000,,,,0.0,2.8229767e-05
chr22,15000000,15200000,0.0,0.0,0.0,-3.76035e-06,0.001379039117
chr22,15200000,15400000,0.0572508,0.0122113,0.035607,-0.000461010899,0.00643220418
chr22,15400000,15600000,0.180039,0.0173456,0.0445728,-0.001170999717,0.00643220418
chr22,15600000,15800000,0.543129,0.0473187,0.0699332,-0.000743431214,0.003960101674
chr22,15800000,16000000,0.543129,0.0473187,0.0699332,-0.000743431214,0.016424796428
chr22,16000000,16200000,0.0355934,0.0419069,0.097599,-0.003354604047,0.016424796428
chr22,16200000,16400000,0.0438797,0.0432946,0.119757,-0.003354604047,0.019213868198
chr22,16400000,16600000,0.136724,0.101159,0.202499,-0.006041874786,0.040152128242
chr22,16600000,16800000,0.156121,0.14376,0.208391,-0.01368508549,0.089170863545
chr22,16800000,17000000,0.480982,0.227435,0.208391,-0.029586900467,0.113858933192
chr22,17000000,17200000,0.480982,0.227435,0.17701,-0.063451547496,0.113858933192
chr22,17200000,17400000,0.263278,0.174566,0.189306,-0.060494513907,0.11281043274
chr22,17400000,17600000,0.368928,0.391733,0.189306,-0.060494513907,0.080439967931
chr22,17600000,17800000,0.368928,0.391733,0.187001,-0.084913165905,-0.00107584905
chr22,17800000,18000000,0.388514,0.566021,0.175217,-0.080009565031,-0.005742546321
