Chrom,Start,End,ATAC,H3K27ac,H3K9me3,PC1,PC2
chr6,0,200000,0.364034,0.241647,0.203192,0.055775558218,-0.009165431317
chr6,200000,400000,0.364034,0.243195,0.223874,0.055775558218,-0.030855327988
chr6,400000,600000,0.270498,0.276712,0.223874,0.048758711485,-0.025791765736
chr6,600000,800000,0.268553,0.40596,0.3288,0.048622314747,-0.024350447665
chr6,800000,1000000,0.252413,0.40596,0.3288,0.045632083575,-0.024350447665
chr6,1000000,1200000,0.440458,0.631414,0.302276,0.057048330299,-0.02735061289
chr6,1200000,1400000,0.440458,0.631414,0.302276,0.057048330299,-0.033218165591
chr6,1400000,1600000,0.329031,0.475138,0.247944,0.051749766829,-0.027408135964
chr6,1600000,1800000,0.25708,0.233431,0.16662,0.041411869427,-0.01916973969
chr6,1800000,2000000,0.176378,0.173243,0.21955,0.027714987992,-0.017636569174
chr6,2000000,2200000,0.193491,0.239504,0.32471,0.030573869365,-0.017636569174
chr6,2200000,2400000,0.228105,0.341128,0.32471,0.046779746148,-0.02248036252
chr6,2400000,2600000,0.404094,0.472161,0.319686,0.053797800293,-0.026543943905
chr6,2600000,2800000,0.591167,1.02065,0.241751,0.083182247613,-0.041021050524
chr6,2800000,3000000,0.591556,1.02065,0.21067,0.083182247613,-0.040634079725
chr6,3000000,3200000,0.591556,0.648976,0.17959,0.087428100812,-0.040634079725
chr6,3200000,3400000,0.527383,0.731669,0.264302,0.087428100812,-0.033426197865
chr6,3400000,3600000,0.410122,0.731669,0.264302,0.07668738065,-0.031565815485
chr6,3600000,3800000,0.324364,0.625342,0.248177,0.071061791169,-0.031565815485
chr6,3800000,4000000,0.38912,0.625342,0.224341,0.071061791169,-0.031352843602
chr6,4000000,4200000,0.38912,0.647786,0.387456,0.062553281518,-0.031352843602
chr6,4200000,4400000,0.338949,0.647786,0.393532,0.062553281518,-0.024340688768
chr6,4400000,4600000,0.347116,0.522944,0.393532,0.061837719004,-0.024340688768
chr6,4600000,4800000,0.347116,0.522944,0.331371,0.061837719004,-0.02707041888
chr6,4800000,5000000,0.378036,0.388814,0.299823,0.057374723236,-0.033882112339
chr6,5000000,5200000,0.378036,0.374288,0.22551,0.049910348462,-0.038175354274
chr6,5200000,5400000,0.281777,0.268199,0.184614,0.049910348462,-0.030009796076
chr6,5400000,5600000,0.224799,0.195925,0.184614,0.030049695857,-0.030009796076
chr6,5600000,5800000,0.266025,0.175386,0.304029,0.026286830646,-0.027673770013
chr6,5800000,6000000,0.266025,0.128593,0.304029,0.014121785356,-0.021141911033
chr6,6000000,6200000,0.221299,0.0785844,0.265704,0.001314220828,-0.021141911033
chr6,6200000,6400000,0.218576,0.0794774,0.299472,0.005116904773,-0.027079749154
chr6,6400000,6600000,0.373369,0.310587,0.299472,0.039177201779,-0.02728439507
chr6,6600000,6800000,0.373369,0.310587,0.21067,0.05234547448,-0.032597936122
chr6,6800000,7000000,0.352172,0.541221,0.200739,0.056429034085,-0.031900332872
chr6,7000000,7200000,0.424707,0.541221,0.165919,0.05935926704,-0.031900332872
chr6,7200000,7400000,0.424707,0.424058,0.172813,0.059491074571,-0.038904117484
chr6,7400000,7600000,0.43093,0.577417,0.256123,0.060674147916,-0.038904117484
chr6,7600000,7800000,0.43093,0.577417,0.256123,0.060674147916,-0.038036845122
chr6,7800000,8000000,0.32592,0.368156,0.240115,0.048408231844,-0.034282560282
chr6,8000000,8200000,0.32592,0.308742,0.282296,0.030202877256,-0.023763220075
chr6,8200000,8400000,0.199713,0.119544,0.307768,0.003878275851,-0.02029648498
chr6,8400000,8600000,0.172683,0.109899,0.307768,0.003878275851,-0.018273843858
chr6,8600000,8800000,0.147403,0.0885266,0.31104,0.003681100606,-0.018273843858
chr6,8800000,9000000,0.145458,0.129545,0.314545,0.006365891122,-0.016624406495
chr6,9000000,9200000,0.135735,0.129545,0.346443,0.00797017786,-0.011058284309
chr6,9200000,9400000,0.165293,0.250577,0.346443,0.013027489228,-0.011058284309
chr6,9400000,9600000,0.165293,0.250577,0.343522,0.015700213862,-0.011305919061
chr6,9600000,9800000,0.152848,0.239802,0.363152,0.015700213862,-0.011305919061
chr6,9800000,10000000,0.189796,0.384468,0.371682,0.027752215285,-0.017293940477
chr6,10000000,10200000,0.226549,0.415307,0.371682,0.033128690373,-0.017293940477
chr6,10200000,10400000,0.631615,1.18335,0.263133,0.056298159545,-0.021979958695
chr6,10400000,10600000,0.631615,1.18335,0.224341,0.059367952955,-0.037117824921
chr6,10600000,10800000,0.321058,0.468887,0.209502,0.059367952955,-0.035084503567
chr6,10800000,11000000,0.482073,0.903304,0.288956,0.060548256906,-0.031450218242
chr6,11000000,11200000,0.502881,1.55585,0.395635,0.082912701555,-0.031450218242
chr6,11200000,11400000,0.502881,1.55585,0.395635,0.082912701555,-0.028844726255
chr6,11400000,11600000,0.323781,0.719524,0.367242,0.053161549423,-0.028682736835
chr6,11600000,11800000,0.323781,0.719524,0.367242,0.053161549423,-0.022564998262
chr6,11800000,12000000,0.333504,0.494606,0.291293,0.049010963726,-0.022564998262
chr6,12000000,12200000,0.599723,1.71761,0.485255,0.056796388474,-0.022642381674
chr6,12200000,12400000,0.599723,1.71761,0.539704,0.056796388474,-0.026070014531
chr6,12400000,12600000,0.219549,1.11274,0.539704,0.053114553132,-0.019113231364
chr6,12600000,12800000,0.246773,0.187591,0.35766,0.029884925874,-0.019113231364
chr6,12800000,13000000,0.251246,0.111566,0.349014,0.030477273343,-0.026091309469
chr6,13000000,13200000,0.439486,0.566641,0.320855,0.058914375929,-0.028203642584
chr6,13200000,13400000,0.439486,0.587002,0.217681,0.068281322342,-0.030796269428
chr6,13400000,13600000,0.424318,0.587002,0.217681,0.068281322342,-0.031319827845
chr6,13600000,13800000,0.309196,0.341366,0.269794,0.056263296646,-0.025237311215
chr6,13800000,14000000,0.273998,0.30761,0.269794,0.055839090185,-0.025237311215
chr6,14000000,14200000,0.261358,0.549496,0.330786,0.055839090185,-0.017254702797
chr6,14200000,14400000,0.2353,0.656775,0.349014,0.055218572795,-0.017254702797
chr6,14400000,14600000,0.262914,0.720476,0.349014,0.056217425675,-0.018345383724
chr6,14600000,14800000,0.262914,0.720476,0.311974,0.056217425675,-0.013009680167
chr6,14800000,15000000,0.187073,0.383575,0.213241,0.058437512082,-0.013009680167
chr6,15000000,15200000,0.368702,0.528897,0.187652,0.063010688763,-0.015930890052
chr6,15200000,15400000,0.368702,0.528897,0.176201,0.063010688763,-0.01912155231
chr6,15400000,15600000,0.266414,0.258733,0.285801,0.049722085565,-0.021957490933
chr6,15600000,15800000,0.219743,0.180268,0.285801,0.03363245604,-0.021957490933
chr6,15800000,16000000,0.294028,0.16848,0.278674,0.029693536803,-0.020782665776
chr6,16000000,16200000,0.325531,0.303562,0.277739,0.055826594841,-0.020782665776
chr6,16200000,16400000,0.325531,0.303562,0.184614,0.055826594841,-0.032737699442
chr6,16400000,16600000,0.480129,0.825553,0.235909,0.059501206242,-0.026161915028
chr6,16600000,16800000,0.480129,0.825553,0.32027,0.059501206242,-0.024330571224
chr6,16800000,17000000,0.230633,0.186281,0.407086,0.036275110801,-0.024330571224
chr6,17000000,17200000,0.30239,0.65368,0.407086,0.058443359104,-0.02766749425
chr6,17200000,17400000,0.30239,0.65368,0.30917,0.058443359104,-0.02946930275
chr6,17400000,17600000,0.320864,0.459957,0.232287,0.059398103591,-0.02946930275
chr6,17600000,17800000,0.385231,0.975102,0.252968,0.065022288902,-0.030918144062
chr6,17800000,18000000,0.385231,0.975102,0.252968,0.065022288902,-0.036148970111
chr6,18000000,18200000,0.344588,0.394649,0.2303,0.063940840464,-0.033517555166
chr6,18200000,18400000,0.309974,0.290822,0.249229,0.029522699781,-0.032741652242
chr6,18400000,18600000,0.257663,0.137225,0.270144,0.007945212807,-0.026718562577
chr6,18600000,18800000,0.162376,0.06638,0.323892,-0.004755151032,-0.018008301988
chr6,18800000,19000000,0.173655,0.0861452,0.36175,0.001753630203,-0.018008301988
chr6,19000000,19200000,0.174044,0.144191,0.36175,0.006970040367,-0.018946550247
chr6,19200000,19400000,0.182795,0.237897,0.399724,0.015670512595,-0.020561978905
chr6,19400000,19600000,0.196407,0.237897,0.399724,0.019471084754,-0.020561978905
chr6,19600000,19800000,0.409344,0.211642,0.322023,0.019471084754,-0.026212330555
chr6,19800000,20000000,0.409344,0.211642,0.322023,0.012318493863,-0.030216083277
chr6,20000000,20200000,0.325531,0.199497,0.264185,0.021884534299,-0.039292951149
chr6,20200000,20400000,0.411872,0.390243,0.264185,0.036382628896,-0.043208595275
chr6,20400000,20600000,0.411872,0.390243,0.226561,0.036382628896,-0.028690250426
chr6,20600000,20800000,0.186101,0.337258,0.292228,0.033467873411,-0.02041370363
chr6,20800000,21000000,0.1791,0.342854,0.292228,0.02839876914,-0.02041370363
chr6,21000000,21200000,0.1791,0.342854,0.270728,0.028887466712,-0.020765223095
chr6,21200000,21400000,0.305696,0.438525,0.263484,0.028887466712,-0.026572744841
chr6,21400000,21600000,0.305696,0.678565,0.263484,0.036352638671,-0.02561689673
chr6,21600000,21800000,0.251052,0.738813,0.292695,0.042025734774,-0.02074879359
chr6,21800000,22000000,0.251052,0.738813,0.360582,0.042025734774,-0.020200363896
chr6,22000000,22200000,0.199908,0.525563,0.367475,0.027969178793,-0.020200363896
chr6,22200000,22400000,0.197963,0.374764,0.367475,0.020692077524,-0.019822081738
chr6,22400000,22600000,0.146042,0.259507,0.361283,0.018148448753,-0.016619958751
chr6,22600000,22800000,0.18474,0.33827,0.383834,0.017026954448,-0.016619958751
chr6,22800000,23000000,0.18474,0.33827,0.383834,0.009771160346,-0.016962132526
chr6,23000000,23200000,0.156932,0.133474,0.366424,0.000971621199,-0.017377762394
chr6,23200000,23400000,0.14118,0.0810253,0.380796,-0.000342272971,-0.017377762394
chr6,23400000,23600000,0.14118,0.0722739,0.380796,-0.0045863435,-0.019609244572
chr6,23600000,23800000,0.129707,0.0537589,0.34656,-0.005942126167,-0.019609244572
