Chrom,Start,End,ATAC,H3K27ac,H3K9me3,PC1
chr22,0,200000,0.0,0.0,0.0,0.0
chr22,200000,400000,0.0,0.0,0.0,0.0
chr22,400000,600000,0.0,0.0,0.0,0.0
chr22,600000,800000,0.0,0.0,0.0,0.0
chr22,800000,1000000,0.0,0.0,0.0,0.0
chr22,1000000,1200000,0.0,0.0,0.0,0.0
chr22,1200000,1400000,0.0,0.0,0.0,0.0
chr22,1400000,1600000,0.0,0.0,0.0,0.0
chr22,1600000,1800000,0.0,0.0,0.0,0.0
chr22,1800000,2000000,0.0,0.0,0.0,0.0
chr22,2000000,2200000,0.0,0.0,0.0,0.0
chr22,2200000,2400000,0.0,0.0,0.0,0.0
chr22,2400000,2600000,0.0,0.0,0.0,0.0
chr22,2600000,2800000,0.0,0.0,0.0,0.0
chr22,2800000,3000000,0.0,0.0,0.0,0.0
chr22,3000000,3200000,0.0,0.0,0.0,0.0
chr22,3200000,3400000,0.0,0.0,0.0,0.0
chr22,3400000,3600000,0.0,0.0,0.0,0.0
chr22,3600000,3800000,0.0,0.0,0.0,0.0
chr22,3800000,4000000,0.0,0.0,0.0,0.0
chr22,4000000,4200000,0.0,0.0,0.0,0.0
chr22,4200000,4400000,0.0,0.0,0.0,0.0
chr22,4400000,4600000,0.0,0.0,0.0,0.0
chr22,4600000,4800000,0.0,0.0,0.0,0.0
chr22,4800000,5000000,0.0,0.0,0.0,0.0
chr22,5000000,5200000,0.0,0.0,0.0,0.0
chr22,5200000,5400000,0.0,0.0,0.0,0.0
chr22,5400000,5600000,0.0,0.0,0.0,0.0
chr22,5600000,5800000,0.0,0.0,0.0,0.0
chr22,5800000,6000000,0.0,0.0,0.0,0.0
chr22,6000000,6200000,0.0,0.0,0.0,0.0
chr22,6200000,6400000,0.0,0.0,0.0,0.0
chr22,6400000,6600000,0.0,0.0,0.0,0.0
chr22,6600000,6800000,0.0,0.0,0.0,0.0
chr22,6800000,7000000,0.0,0.0,0.0,0.0
chr22,7000000,7200000,0.0,0.0,0.0,0.0
chr22,7200000,7400000,0.0,0.0,0.0,0.0
chr22,7400000,7600000,0.0,0.0,0.0,0.0
chr22,7600000,7800000,0.0,0.0,0.0,0.0
chr22,7800000,8000000,0.0,0.0,0.0,0.0
chr22,8000000,8200000,0.0,0.0,0.0,0.0
chr22,8200000,8400000,0.0,0.0,0.0,0.0
chr22,8400000,8600000,0.0,0.0,0.0,0.0
chr22,8600000,8800000,0.0,0.0,0.0,0.0
chr22,8800000,9000000,0.0,0.0,0.0,0.0
chr22,9000000,9200000,0.0,0.0,0.0,0.0
chr22,9200000,9400000,0.0,0.0,0.0,0.0
chr22,9400000,9600000,0.0,0.0,0.0,0.0
chr22,9600000,9800000,0.0,0.0,0.0,0.0
chr22,9800000,10000000,0.0,0.0,0.0,0.0
chr22,10000000,10200000,0.0,0.0,0.0,0.0
chr22,10200000,10400000,0.0122411,0.00263653,0.00537947,0.138377458478125
chr22,10400000,10600000,0.192091,0.128496,0.286649,0.0955402667906073
chr22,10600000,10800000,0.192091,0.128496,0.286649,0.1313968475020955
chr22,10800000,11000000,0.21356,0.0860341,0.215947,0.0876211178920933
chr22,11000000,11200000,0.21356,0.0860341,0.215947,0.0620860159758719
chr22,11200000,11400000,0.0781548,0.092001,0.182774,0.1219387878858134
chr22,11400000,11600000,0.0781548,0.092001,0.182774,0.0753742505771487
chr22,11600000,11800000,0.0642188,0.0582812,0.162537,0.1157879324990093
chr22,11800000,12000000,0.0273071,0.0249776,0.054179,0.1208558835665142
chr22,12000000,12200000,0.030132,0.0373277,0.0739037,0.134198858803401
chr22,12200000,12400000,0.0325802,0.0550896,0.107974,0.1271702635954358
chr22,12400000,12600000,0.0325802,0.0550896,0.107974,0.1349822978250709
chr22,12600000,12800000,0.0141244,0.0407968,0.0786428,0.1383830402027807
chr22,12800000,13000000,0.0067797,0.0230349,0.0523858,0.0
chr22,13000000,13200000,0.0,0.0,0.0,0.0
chr22,13200000,13400000,0.0,0.0,0.0,0.0
chr22,13400000,13600000,0.0,0.0,0.0,0.0
chr22,13600000,13800000,0.0,0.0,0.0,0.0
chr22,13800000,14000000,0.0,0.0,0.0,0.0
chr22,14000000,14200000,0.0,0.0,0.0,0.0
chr22,14200000,14400000,0.0,0.0,0.0,0.0
chr22,14400000,14600000,0.0,0.0,0.0,0.0
chr22,14600000,14800000,0.0,0.0,0.0,0.0
chr22,14800000,15000000,0.0,0.0,0.0,0.1383911885901192
chr22,15000000,15200000,0.0,0.0,0.0,0.1386015970217039
chr22,15200000,15400000,0.0572508,0.0122113,0.035607,0.1383444538006325
chr22,15400000,15600000,0.180039,0.0173456,0.0445728,0.1386564659436024
chr22,15600000,15800000,0.543129,0.0473187,0.0699332,0.1395253669450473
chr22,15800000,16000000,0.543129,0.0473187,0.0699332,0.1348579440307887
chr22,16000000,16200000,0.0355934,0.0419069,0.097599,0.1385376432978873
chr22,16200000,16400000,0.0438797,0.0432946,0.119757,0.1351651279323916
chr22,16400000,16600000,0.136724,0.101159,0.202499,0.1079412727867771
chr22,16600000,16800000,0.156121,0.14376,0.208391,0.0495057110988729
chr22,16800000,17000000,0.480982,0.227435,0.208391,-0.008288624467264
chr22,17000000,17200000,0.480982,0.227435,0.17701,-0.0004329826268074447
chr22,17200000,17400000,0.263278,0.174566,0.189306,0.0015485118847496
chr22,17400000,17600000,0.368928,0.391733,0.189306,-0.0453221055718898
chr22,17600000,17800000,0.368928,0.391733,0.187001,-0.0497590230018712
chr22,17800000,18000000,0.388514,0.566021,0.175217,-0.0516073049104807
chr22,18000000,18200000,0.388514,0.566021,0.166508,0.138077454884796
chr22,18200000,18400000,0.258758,0.00346912,0.00281782,0.1353567722144321
chr22,18400000,18600000,0.258758,0.00346912,0.00256165,0.1363968620125131
chr22,18600000,18800000,0.286442,0.0706312,0.0441885,0.0534339241004461
chr22,18800000,19000000,0.548025,0.267538,0.163818,-0.0612230306191212
chr22,19000000,19200000,0.548025,0.296124,0.271151,-0.0515766112001643
chr22,19200000,19400000,0.374013,0.296124,0.271151,-0.0464491165085653
chr22,19400000,19600000,0.533713,0.286965,0.190715,-0.0587033587725679
chr22,19600000,19800000,0.667612,0.386182,0.182646,-0.062638488191766
chr22,19800000,20000000,0.688327,0.386182,0.163562,-0.0626829826315581
chr22,20000000,20200000,0.688327,0.267261,0.150497,-0.054060303643292
chr22,20200000,20400000,0.577592,0.43017,0.172015,-0.0629743594493642
chr22,20400000,20600000,0.565916,0.43017,0.172015,-0.0405980394205006
chr22,20600000,20800000,0.501321,0.374109,0.181109,-0.0557428253227204
chr22,20800000,21000000,0.501321,0.374109,0.181109,-0.0096842862874095
chr22,21000000,21200000,0.329192,0.286271,0.109126,0.1378210475700962
chr22,21200000,21400000,0.614127,0.136267,0.0622482,0.0306573353387969
chr22,21400000,21600000,0.619966,0.252413,0.17099,-0.062177016196613
chr22,21600000,21800000,0.619966,0.26393,0.173296,-0.0561871237734332
