Chrom,Start,End,ATAC,H3K27ac,H3K9me3
chr6,0,200000,0.335783,0.230766,0.230933
chr6,200000,400000,0.335783,0.268371,0.235544
chr6,400000,600000,0.260265,0.268371,0.242973
chr6,600000,800000,0.26196,0.343998,0.272048
chr6,800000,1000000,0.26196,0.343998,0.272048
chr6,1000000,1200000,0.409418,0.387153,0.279092
chr6,1200000,1400000,0.409418,0.387153,0.279092
chr6,1400000,1600000,0.315821,0.329844,0.257831
chr6,1600000,1800000,0.240679,0.197878,0.220558
chr6,1800000,2000000,0.196988,0.208008,0.244254
chr6,2000000,2200000,0.214879,0.237426,0.286777
chr6,2200000,2400000,0.250472,0.261016,0.286777
chr6,2400000,2600000,0.37778,0.324015,0.28191
chr6,2600000,2800000,0.546519,0.671898,0.248224
chr6,2800000,3000000,0.546519,0.671898,0.23849
chr6,3000000,3200000,0.545766,0.409772,0.209543
chr6,3200000,3400000,0.455935,0.375497,0.2545
chr6,3400000,3600000,0.393976,0.375497,0.2545
chr6,3600000,3800000,0.324107,0.511903,0.246687
chr6,3800000,4000000,0.338796,0.511903,0.256294
chr6,4000000,4200000,0.338796,0.463196,0.317389
chr6,4200000,4400000,0.274954,0.463196,0.324049
chr6,4400000,4600000,0.308664,0.37855,0.324049
chr6,4600000,4800000,0.308664,0.37855,0.299842
chr6,4800000,5000000,0.368552,0.304172,0.286137
chr6,5000000,5200000,0.368552,0.304172,0.249121
chr6,5200000,5400000,0.264031,0.27073,0.232598
chr6,5400000,5600000,0.197176,0.211339,0.232598
chr6,5600000,5800000,0.26535,0.178451,0.268205
chr6,5800000,6000000,0.26535,0.161106,0.268205
chr6,6000000,6200000,0.213372,0.154861,0.243869
chr6,6200000,6400000,0.235971,0.154861,0.262826
chr6,6400000,6600000,0.379663,0.310833,0.262826
chr6,6600000,6800000,0.379663,0.45723,0.240667
chr6,6800000,7000000,0.367987,0.489562,0.238618
chr6,7000000,7200000,0.394729,0.489562,0.217613
chr6,7200000,7400000,0.394729,0.326652,0.218637
chr6,7400000,7600000,0.397177,0.502606,0.269742
chr6,7600000,7800000,0.397177,0.502606,0.269742
chr6,7800000,8000000,0.306405,0.308196,0.249249
chr6,8000000,8200000,0.306405,0.308196,0.2732
chr6,8200000,8400000,0.201131,0.196074,0.2732
chr6,8400000,8600000,0.155368,0.196074,0.272944
chr6,8600000,8800000,0.159888,0.174705,0.289339
chr6,8800000,9000000,0.159888,0.174705,0.289339
chr6,9000000,9200000,0.14614,0.191079,0.312138
chr6,9200000,9400000,0.174577,0.250609,0.312138
chr6,9400000,9600000,0.174577,0.250609,0.304068
chr6,9600000,9800000,0.14953,0.224382,0.300354
chr6,9800000,10000000,0.213184,0.366477,0.305221
chr6,10000000,10200000,0.218457,0.366477,0.305221
chr6,10200000,10400000,0.612244,0.794566,0.249761
