id,x,y,z
1.0,-31.80781,-43.35411,-21.79048
2.0,-32.18551,-43.69996,-20.95034
3.0,-31.2513,-43.84579,-21.13315
4.0,-31.81144,-43.23467,-21.77506
5.0,-30.99567,-43.49546,-22.35095
6.0,-31.17138,-42.73196,-22.87964
7.0,-30.67407,-43.39808,-23.36127
8.0,-31.37119,-42.69075,-23.05468
9.0,-31.83238,-42.23085,-23.75155
10.0,-32.03501,-42.41722,-24.6964
11.0,-32.16497,-43.31722,-25.2967
12.0,-31.20056,-43.4173,-24.98566
13.0,-31.38286,-44.32562,-24.93326
14.0,-31.27889,-44.03404,-23.98702
15.0,-31.16124,-43.94531,-23.0015
16.0,-31.64261,-44.20543,-23.75539
17.0,-31.64976,-45.06271,-24.18159
18.0,-31.78903,-45.24109,-23.27475
19.0,-31.18835,-44.29667,-23.14916
20.0,-31.63749,-44.28259,-22.27933
21.0,-31.09323,-45.25149,-22.34085
22.0,-31.94825,-44.55923,-22.5379
23.0,-31.27228,-44.47795,-23.43906
24.0,-31.09658,-44.45608,-22.49812
25.0,-31.81766,-44.43733,-21.64743
26.0,-31.19842,-43.94194,-22.42672
27.0,-32.03276,-44.69844,-22.42349
28.0,-32.67036,-44.95922,-21.55132
29.0,-31.97259,-44.34784,-22.15241
30.0,-32.18075,-45.27387,-21.88222
31.0,-31.65619,-44.40818,-21.93129
32.0,-31.20118,-44.93651,-22.5712
33.0,-31.11956,-44.59872,-23.47129
34.0,-31.71811,-44.09822,-24.18784
35.0,-31.63571,-43.83206,-23.23574
36.0,-31.42107,-44.70295,-22.78829
37.0,-31.60717,-44.51805,-21.88299
38.0,-32.26076,-44.15232,-22.42692
39.0,-32.51517,-44.57182,-21.52728
40.0,-31.75834,-44.2763,-22.07694
41.0,-32.44538,-44.94648,-21.96468
42.0,-31.94952,-45.57716,-22.59546
43.0,-31.41574,-46.092,-23.33623
44.0,-31.63954,-45.04641,-23.77125
45.0,-30.98646,-45.70863,-23.91178
46.0,-30.71569,-44.86491,-23.40687
47.0,-31.4385,-44.77776,-24.05283
48.0,-31.64604,-45.74523,-24.00848
49.0,-32.20041,-46.26302,-23.2839
50.0,-31.67045,-45.39713,-23.45039
51.0,-31.63133,-45.29048,-24.42453
52.0,-32.61505,-45.25484,-24.43035
53.0,-32.67472,-45.65287,-23.45667
54.0,-32.42005,-45.87008,-22.38014
55.0,-33.08179,-45.15632,-22.32032
56.0,-32.23249,-44.85122,-22.60226
57.0,-32.38107,-45.81832,-22.54779
58.0,-33.32952,-45.65913,-22.94274
59.0,-32.5168,-45.98263,-22.53012
60.0,-33.25395,-45.51543,-22.19737
61.0,-33.58708,-44.9086,-23.10553
62.0,-33.4635,-45.83996,-22.9657
63.0,-32.82301,-46.4727,-23.48764
64.0,-32.12495,-46.8284,-24.05798
65.0,-31.64803,-45.98709,-24.38446
66.0,-32.43228,-46.37749,-23.79047
67.0,-32.41022,-46.18624,-22.87821
68.0,-33.18283,-45.80399,-23.39499
69.0,-33.02665,-45.72799,-22.33364
70.0,-33.44521,-44.91779,-21.93921
71.0,-32.49754,-44.40373,-21.66449
72.0,-32.72047,-45.24239,-22.44662
73.0,-32.08727,-45.94355,-22.79358
74.0,-33.09055,-46.10773,-22.91191
75.0,-33.27786,-45.65463,-23.78966
76.0,-32.29599,-45.83424,-24.2643
77.0,-32.62232,-45.68084,-23.42555
78.0,-33.13532,-44.98359,-23.85326
79.0,-32.57591,-44.25192,-24.15447
80.0,-32.6435,-45.15396,-24.6168
81.0,-33.31335,-44.70279,-24.07411
82.0,-33.12428,-43.82261,-24.64125
83.0,-32.45448,-44.47234,-24.74449
84.0,-32.11774,-45.12306,-24.13312
85.0,-31.45823,-44.54209,-24.49848
86.0,-32.54368,-44.45822,-24.75835
87.0,-31.73705,-44.03953,-24.425
88.0,-32.49195,-44.88461,-24.67231
89.0,-33.14453,-45.46085,-24.18412
90.0,-33.66182,-46.37739,-24.0723
91.0,-33.54739,-46.43977,-25.03064
92.0,-32.81651,-45.8646,-25.74413
93.0,-31.84459,-46.13029,-25.4267
94.0,-32.05627,-46.57437,-24.55555
95.0,-33.08025,-46.58498,-24.50931
96.0,-32.27851,-46.26033,-25.04706
97.0,-31.89704,-45.526,-25.62829
98.0,-32.98092,-45.15778,-25.63275
99.0,-33.19234,-45.94125,-25.03624
100.0,-33.91558,-46.21747,-24.52245
101.0,-34.16254,-45.191,-24.53311
102.0,-33.50726,-44.43495,-24.17271
103.0,-32.6087,-44.89883,-23.86547
104.0,-32.32427,-44.20756,-24.50388
105.0,-33.28854,-44.36823,-24.17749
106.0,-32.40947,-44.14085,-24.39738
107.0,-33.05117,-44.98587,-24.82502
108.0,-33.55889,-45.62919,-24.31574
109.0,-34.1854,-45.6512,-23.50482
110.0,-33.55575,-45.36364,-22.82913
111.0,-33.03021,-45.15766,-23.78739
112.0,-33.69605,-45.48039,-23.06558
113.0,-34.03416,-44.69164,-23.58155
114.0,-33.18122,-44.50597,-23.07797
115.0,-33.87452,-44.98472,-22.54938
116.0,-34.20754,-45.05718,-23.46497
117.0,-34.53704,-45.18555,-24.40199
118.0,-33.98252,-45.77383,-24.81478
119.0,-33.94551,-44.84259,-25.15042
120.0,-33.04544,-44.49685,-25.55819
121.0,-33.55964,-44.21734,-24.75676
122.0,-32.69539,-43.73629,-24.29713
123.0,-33.64981,-44.10469,-24.67161
124.0,-33.06976,-43.624,-24.04705
125.0,-32.82727,-43.61183,-23.09603
126.0,-33.55318,-44.06669,-22.69526
127.0,-33.72582,-44.51705,-21.86059
128.0,-33.02117,-44.49717,-22.48952
129.0,-32.84282,-43.73833,-22.98321
130.0,-32.1354,-43.29929,-23.51224
131.0,-32.51688,-43.52164,-22.66053
132.0,-33.13854,-44.07656,-23.03192
133.0,-32.77459,-43.51037,-23.74496
134.0,-33.53128,-44.13517,-23.60844
135.0,-34.10587,-44.52712,-22.92883
136.0,-33.40475,-44.33777,-23.53186
137.0,-34.09531,-44.67954,-24.3166
138.0,-33.79981,-43.73351,-24.01738
139.0,-32.7397,-43.37892,-24.11228
140.0,-32.26386,-43.63201,-23.2143
141.0,-32.46339,-43.1371,-24.15492
142.0,-32.08735,-43.44926,-23.28824
143.0,-32.60833,-43.30852,-24.22057
144.0,-31.90336,-43.35485,-23.5955
145.0,-32.63742,-43.03618,-24.07725
146.0,-33.47527,-43.41573,-24.22894
147.0,-34.14108,-44.30719,-23.6993
148.0,-34.25175,-45.10131,-22.92827
149.0,-33.65618,-44.50128,-22.3364
150.0,-34.02817,-44.44571,-23.36743
151.0,-33.56276,-44.63177,-22.33716
152.0,-33.97257,-44.37506,-23.14969
153.0,-33.33092,-43.81066,-22.64695
154.0,-33.36793,-43.42593,-23.5691
155.0,-33.03812,-44.04096,-22.92212
156.0,-32.39498,-43.18782,-22.65798
157.0,-32.79894,-43.79921,-21.91625
158.0,-33.17187,-42.99181,-22.40958
159.0,-32.36547,-42.5982,-22.79845
160.0,-32.91833,-42.97821,-22.00349
161.0,-32.4322,-42.63631,-22.92966
162.0,-33.1449,-43.03503,-23.44919
163.0,-32.47154,-42.96257,-22.71894
164.0,-33.2637,-42.67817,-23.10352
165.0,-32.69424,-42.64567,-22.17987
166.0,-32.53957,-42.18247,-22.99603
167.0,-32.96172,-42.65963,-22.20776
168.0,-33.11561,-43.53609,-21.62167
169.0,-32.71638,-42.67027,-21.91185
170.0,-33.45227,-43.25772,-22.00337
171.0,-32.83192,-42.63444,-22.16048
172.0,-33.42623,-43.26625,-21.83327
173.0,-34.28522,-43.56152,-22.02432
174.0,-33.82912,-44.07738,-21.37531
175.0,-34.17334,-44.00945,-22.22984
176.0,-34.78065,-44.41291,-22.88849
177.0,-34.63562,-44.27271,-21.98223
178.0,-34.06489,-43.50777,-22.11479
179.0,-33.10852,-43.22751,-22.11958
180.0,-33.72186,-43.50103,-21.20202
181.0,-32.90484,-43.01994,-21.4946
182.0,-33.69834,-43.57898,-21.35249
183.0,-34.3559,-43.91791,-22.04065
184.0,-33.93364,-43.31312,-22.72412
185.0,-34.68223,-43.53156,-23.25778
186.0,-34.63897,-42.76394,-23.84518
187.0,-34.4291,-43.34961,-23.00589
188.0,-34.66695,-43.88464,-22.18807
189.0,-34.45588,-43.43051,-23.07457
190.0,-34.29248,-43.03882,-23.98054
191.0,-34.29577,-43.06692,-23.07033
192.0,-33.87294,-42.66021,-23.92084
193.0,-34.74479,-43.17415,-23.94975
194.0,-34.98688,-43.15615,-23.01664
195.0,-35.19577,-44.17414,-22.69114
196.0,-36.08026,-44.43792,-22.34879
197.0,-35.30352,-44.89872,-22.78529
198.0,-35.63833,-44.39222,-23.55019
199.0,-35.86788,-43.32319,-23.47359
200.0,-35.87953,-43.93938,-22.50065
201.0,-36.35312,-43.87658,-23.30622
202.0,-36.80471,-43.23182,-22.6929
203.0,-36.38112,-44.07641,-22.63195
204.0,-35.68233,-44.48516,-22.01523
205.0,-35.96005,-43.75303,-21.30502
206.0,-34.79047,-43.48777,-21.41457
207.0,-35.42728,-43.22205,-22.1434
208.0,-34.87845,-43.29472,-22.84858
209.0,-35.26255,-42.64727,-22.23227
210.0,-34.25742,-42.66346,-22.41863
211.0,-34.85507,-42.55583,-23.26671
212.0,-33.93378,-42.53967,-23.73031
213.0,-34.19908,-42.59098,-22.71488
214.0,-34.68078,-42.47332,-23.55871
215.0,-34.65936,-42.58106,-22.54188
216.0,-34.49516,-42.38369,-23.54756
217.0,-34.99559,-43.19263,-23.17669
218.0,-35.17617,-42.37393,-23.63063
219.0,-35.45908,-42.59724,-22.6824
220.0,-35.83629,-41.90241,-23.30637
221.0,-35.76757,-42.70371,-22.67847
222.0,-35.81132,-42.25499,-23.65468
223.0,-35.9272,-43.10344,-23.26103
224.0,-35.57521,-43.07863,-22.36114
225.0,-35.61438,-43.27345,-21.36718
226.0,-35.97379,-42.52781,-21.85028
227.0,-35.62552,-43.46626,-21.57385
228.0,-34.84946,-43.33289,-20.97268
229.0,-35.75844,-43.58674,-20.84422
230.0,-35.77527,-42.64348,-21.391
231.0,-36.52849,-42.71645,-21.93136
232.0,-36.24464,-41.77987,-21.55481
233.0,-36.38136,-42.40328,-22.45405
234.0,-36.01699,-41.77166,-21.64725
235.0,-35.7689,-41.75105,-22.64456
236.0,-35.31161,-41.11183,-21.97245
237.0,-34.4454,-41.61328,-21.85045
238.0,-34.79815,-40.74924,-22.15617
239.0,-35.4367,-41.28194,-21.51639
240.0,-35.82614,-40.98502,-22.39126
241.0,-35.59417,-41.44714,-21.51481
242.0,-34.98034,-41.84671,-20.8352
243.0,-34.22111,-42.60172,-21.18089
244.0,-34.73186,-43.47454,-20.97947
245.0,-34.25973,-42.68906,-21.32538
246.0,-33.90914,-42.10617,-22.05633
247.0,-33.53661,-42.3349,-21.16651
248.0,-34.43321,-42.13379,-21.32691
249.0,-33.51188,-42.11764,-21.33224
250.0,-34.28482,-42.20627,-21.96496
251.0,-33.96806,-41.9388,-21.07956
252.0,-33.47517,-41.67469,-21.87707
253.0,-33.43963,-42.52508,-21.33134
254.0,-34.39042,-42.26026,-21.18281
255.0,-33.60333,-41.93172,-21.88222
256.0,-34.41916,-41.74084,-22.45213
257.0,-33.8095,-41.67331,-23.49844
258.0,-34.35159,-41.72593,-22.67691
259.0,-34.64581,-41.58717,-21.73893
260.0,-33.95466,-42.24791,-21.64449
261.0,-34.52701,-41.48474,-21.41757
262.0,-35.04485,-42.23559,-20.61747
263.0,-34.35073,-42.6557,-21.27412
264.0,-35.19314,-42.25543,-20.94641
265.0,-35.06804,-41.28163,-20.64035
266.0,-34.70872,-40.68411,-21.41143
267.0,-35.26878,-40.5734,-22.24181
268.0,-35.68907,-41.36066,-22.56681
269.0,-35.04089,-40.97657,-23.21212
270.0,-35.91667,-40.97079,-22.8156
271.0,-35.01237,-41.66117,-23.23291
272.0,-35.38346,-40.77726,-22.76656
273.0,-34.72686,-40.99137,-23.4512
274.0,-34.67361,-40.72122,-22.47775
275.0,-33.93594,-41.0507,-23.09663
276.0,-33.95906,-41.84837,-23.72923
277.0,-33.59102,-41.08888,-23.34548
278.0,-33.69054,-42.07576,-23.41358
279.0,-33.75258,-41.16805,-23.26289
280.0,-34.37603,-40.68803,-22.69988
281.0,-34.56818,-41.35326,-23.34276
282.0,-33.4944,-41.44581,-23.23875
283.0,-33.61386,-41.13367,-22.30761
284.0,-32.86987,-41.77067,-23.01878
285.0,-33.68959,-41.86812,-22.21692
286.0,-34.02639,-41.13534,-22.71671
287.0,-33.35016,-41.38749,-23.38511
288.0,-33.18134,-41.1999,-22.45763
289.0,-32.64106,-41.76559,-23.16578
290.0,-32.93171,-41.4117,-24.10916
291.0,-33.6922,-41.33874,-24.85262
292.0,-34.13574,-40.69927,-24.22174
293.0,-33.76078,-40.02435,-23.61556
294.0,-33.98202,-39.12928,-23.23815
295.0,-34.10224,-38.78416,-22.36391
296.0,-34.62261,-38.94943,-21.60465
297.0,-34.86228,-38.43749,-20.63988
298.0,-35.08308,-39.503,-19.92889
299.0,-35.11121,-40.1913,-19.29506
300.0,-34.75951,-41.26322,-19.4747
301.0,-34.82761,-42.21642,-19.52976
302.0,-33.87311,-42.20981,-19.45535
303.0,-33.45649,-43.02052,-19.84691
304.0,-32.5645,-42.90242,-20.19839
305.0,-32.39287,-42.34492,-20.98868
306.0,-32.11356,-41.86705,-21.97762
307.0,-32.14714,-41.53056,-22.89868
308.0,-32.16633,-41.32667,-22.00503
309.0,-32.69716,-41.88951,-21.33102
310.0,-32.94808,-40.94301,-21.59965
311.0,-33.31371,-39.98241,-21.25217
312.0,-33.59671,-39.9129,-22.18654
313.0,-33.08501,-40.42395,-22.83326
